no;questions;category0
2517;What South American capital is the world 's highest ?;LOCATION
2518;What are the lyrics to the Star Spangled Banner ?;DESCRIPTION
2519;Name a civil war battlefield .;LOCATION
2520;When do you plant winter wheat ?;NUMERIC
2521;What will a compass do in outer space ?;DESCRIPTION
2522;How many counties are in Indiana ?;NUMERIC
2523;Which college did Dikembe Mutombo attend ?;HUMAN
2524;Who was the first actress to appear on a postage stamp ?;HUMAN
2525;Who was the first black woman to star in the Folies Bergeres ?;HUMAN
2526;What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?;ENTITY
2527;What famed strip of land is a 15-minute boat trip across the Venetian Lagoon from Venice ?;LOCATION
2528;How is water treated to make it safe to drink ?;DESCRIPTION
2529;What is a hydrogen bond ?;DESCRIPTION
2530;What is the exchange rate between England and the U.S. ?;NUMERIC
2531;What does a woman want ?;ENTITY
2532;What is the protection rate of using condoms ?;NUMERIC
2533;What 's the abbreviation for limited partnership ?;ABBREVIATION
2534;Which continent has the most roses ?;LOCATION
2535;What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?;ENTITY
2536;How do you write a correct critical analysis of a poem ?;DESCRIPTION
2537;How do I check if my modem is v.9 compatible ?;DESCRIPTION
2538;What is your favorite color ?;ENTITY
2539;What is the longest chemical name , consisting of 35 letters ?;ENTITY
2540;How many corners does a spritsail have ?;NUMERIC
2541;What bottled-up TV character was born in Baghdad ?;HUMAN
2542;What is a multiplexer ?;DESCRIPTION
2543;What credit card features a centurion on its face ?;ENTITY
2544;What are the four largest mountain ranges on the Asian continent ?;LOCATION
2545;What are the Poconos ?;DESCRIPTION
2546;What does caliente mean , in English ?;DESCRIPTION
2547;What is Jane Goodall famous for ?;DESCRIPTION
2548;What is the mission of Nike ?;ENTITY
2549;What is thalassemia ?;DESCRIPTION
2550;How far can you see ?;NUMERIC
2551;What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?;ENTITY
2552;Why can 't you taste anything when you have a cold ?;DESCRIPTION
2553;Where in the Bible does it tell about Jesus Christ 's brothers and sisters ?;LOCATION
2554;What country boasts the southernmost point in continental Europe ?;LOCATION
2555;When did Nostradamus believe World War III would begin ?;NUMERIC
2556;What is so powerful about Power Bars ?;DESCRIPTION
2557;What do the Japanese call Japan ?;ENTITY
2558;What country was Brian Boru an 11th-century king of ?;LOCATION
2559;What happens when a body part falls asleep ?;DESCRIPTION
2560;What English word has the most letters ?;ENTITY
2561;What film ends with the line : `` This is Mrs. Norman Maine '' ?;ENTITY
2562;Who asked the musical question : `` Have you ever been to electric lady land ? '';HUMAN
2563;Who wrote : `` Poems are made by fools like me but only God can make a tree '' ?;HUMAN
2564;What is June 's birthstone ?;DESCRIPTION
2565;Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?;LOCATION
2566;Why do we ask for the `` check '' and not the bill at a restaurant ?;DESCRIPTION
2567;Who played the part of the Godfather in the movie , ` The Godfather ' ?;HUMAN
2568;When was London 's Docklands Light Railway constructed ?;NUMERIC
2569;Who invented the Wonderbra ?;HUMAN
2570;What is the origin of the proverb `` A stitch in time saves nine '' ?;DESCRIPTION
2571;What state capital comes last alphabetically ?;LOCATION
2572;Why is Thanksgiving on a Thursday ?;DESCRIPTION
2573;How do telephones work ?;DESCRIPTION
2574;What 's the main vegetable in vichyssoise ?;ENTITY
2575;How long did the Charles Manson murder trial last ?;NUMERIC
2576;How long does it take for your blood to make one complete trip through the body ?;NUMERIC
2577;Who owns the St. Louis Rams ?;HUMAN
2578;Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?;LOCATION
2579;What beer tells us , `` Grab all the gusto you can get . '' ?;ENTITY
2580;What is the geographical center of the US including Alaska and Hawaii ?;LOCATION
2581;Which side of the face do most artists tend to show more of in self-portraits ?;ENTITY
2582;What is diabetes ?;DESCRIPTION
2583;What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?;ENTITY
2584;When do MORMONS believe Christ was born ?;NUMERIC
2585;In what year was actress Joan Collins born ?;NUMERIC
2586;What is a fear of punishment ?;ENTITY
2587;What is average salary of restaurant manager in United States ?;NUMERIC
2588;What comic strip sometimes features a mailman named Beasley ?;ENTITY
2589;What device provided a new way to listen to music in 1963 ?;ENTITY
2590;What will a kid eat the middle of , and save the chocolate on the outside for last ?;ENTITY
2591;On average , how long time does it take to type a screenplay ?;NUMERIC
2592;What does the abbreviation IOC stand for ?;ABBREVIATION
2593;What 's a short ton ?;DESCRIPTION
2594;How long do cardinal eggs incubate ?;NUMERIC
2595;What two body parts grow all your life ?;ENTITY
2596;What Texas surgeon performed the first artificial heart transplant ?;HUMAN
2597;What country has the port of Haifa ?;LOCATION
2598;What is the main ingredient of yogurt ?;ENTITY
2599;What is the recipe for Eggs Benedict ?;ENTITY
2600;What is the address for the main government office in Rome , Italy ?;LOCATION
2601;What 's the largest U.S. agricultural crop by weight ?;ENTITY
2602;What is the electronic device used to produce visual displays corresponding to electric signals ?;ENTITY
2603;What is goldenseal ?;DESCRIPTION
2604;Who made the most appearances in the center square on Hollywood Squares ?;HUMAN
2605;What is the Lost Colony ?;DESCRIPTION
2606;What is the chemical composition of a Barbie ?;ENTITY
2607;How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?;NUMERIC
2608;What store claims to be the world 's largest department store ?;HUMAN
2609;What is the lens behind the iris in the eye called ?;ENTITY
2610;What is Tetrinet ?;DESCRIPTION
2611;What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?;HUMAN
2612;What is the longest English word that can be formed using just the first row of letters on a typewriter ?;ENTITY
2613;What is Chiricahua the name of ?;ENTITY
2614;What 's the green variety of beryl called ?;ENTITY
2615;What was the name of Captain Bligh 's ship ?;ENTITY
2616;Which is heavier - cream or milk ?;ENTITY
2617;Who said `` the only thing we have to fear is fear itself '' ?;HUMAN
2618;Where is Romania located ?;LOCATION
2619;How many films are made by the major studios in a year ?;NUMERIC
2620;How many small businesses are there in the U.S .;NUMERIC
2621;What age is Benny Carter ?;NUMERIC
2622;How do you clean an LCD monitor screen ?;DESCRIPTION
2623;What city did the Mormons establish as their headquarters in 1847 ?;LOCATION
2624;What is amezaiku ?;DESCRIPTION
2625;What two countries are linked by the Brenner Pass ?;LOCATION
2626;What new games are available for Nintendo 64 ?;ENTITY
2627;Mississippi has what name for a state nickname ?;LOCATION
2628;What is the predominant color of the Tab label ?;ENTITY
2629;What U.S. city was named for St. Francis of Assisi ?;LOCATION
2630;How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?;NUMERIC
2631;What is the definition of `` chancery '' file in real estate ?;DESCRIPTION
2632;Who is the sexiest women in the world ?;HUMAN
2633;What day is known as the `` national day of prayer '' ?;NUMERIC
2634;Where can I get a photograph of professor Randolph Quirk ?;LOCATION
2635;Who was the supreme god of Germanic religion ?;HUMAN
2636;How do you handle a hungry man ?;DESCRIPTION
2637;Who 's played the most games for the New York Yankees ?;HUMAN
2638;What TV character said ;
2639;What is the name of the Indian who became prime minister by beating Mrs. Gandhi in the 1977 election ?;HUMAN
2640;What are the conjugations of wake and woke ?;ENTITY
2641;What Chilean president was killed in a 1973 coup d 'etat ?;HUMAN
2642;What was Einstein 's IQ ?;NUMERIC
2643;Name the first Russian astronaut to do a spacewalk .;HUMAN
2644;Why do eyes sometimes look red in photographs ?;DESCRIPTION
2645;What are John C. Calhoun and Henry Clay known as ?;ENTITY
2646;What are the first names of the famous husband-and-wife acting team of Lunt and Fontanne ?;HUMAN
2647;What are some good exercises for kids to do ?;ENTITY
2648;How many real fruit juices are there in a can of Hawaiian Punch ?;NUMERIC
2649;What is the abbreviation of the National Bureau of Investigation ?;ABBREVIATION
2650;What is the principal river of Ireland ?;LOCATION
2651;What lake is the source of the White Nile ?;LOCATION
2652;Garry Kasparov plays what game ?;ENTITY
2653;How much does a poodle weigh ?;NUMERIC
2654;What is Zionism ?;DESCRIPTION
2655;What cable network bills itself as `` the family entertainer '' ?;HUMAN
2656;How many points are there on a Backgammon board ?;NUMERIC
2657;What have you not let a tennis ball do if you volley ?;DESCRIPTION
2658;Which comic book was not spawned directly from the pulp magazines ?;ENTITY
2659;What product is for kids , and not for silly rabbits ?;ENTITY
2660;What else has the swastika stood for ?;DESCRIPTION
2661;Why do people get goosebumps when they have something emotional happen to them , like when they hear a beautiful piece of music , or see something beautiful , or get aroused by someone they love ?;DESCRIPTION
2662;How many frames does a disk camera shoot ?;NUMERIC
2663;What are the 7 Wonders of the World ?;ENTITY
2664;When did Theo Rousseau paint the `` Forest of Fontaine '' ?;NUMERIC
2665;How many people have been Captain America ?;NUMERIC
2666;What is meant by the term `` yield to maturity '' in reference to bonds ?;DESCRIPTION
2667;What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?;ENTITY
2668;How did the war of 1812 affect Delaware ?;DESCRIPTION
2669;Where is the human skin least sensitive ?;ENTITY
2670;What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?;HUMAN
2671;What is the biggest `` thing '' humans have made ?;ENTITY
2672;What are all the rivers in Europe ?;LOCATION
2673;Who won the Superbowl in ?;HUMAN
2674;What five cards make up a perfect Cribbage hand ?;ENTITY
2675;In what year was Gandhi assassinated ?;NUMERIC
2676;What is the time it takes a typist to type a screenplay that is 100 pages long ?;NUMERIC
2677;What is the full classification of a lady bug ?;ENTITY
2678;What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?;HUMAN
2679;How many pairs of wings does a tsetse fly have ?;NUMERIC
2680;What was the name of the peace agreement imposed on Germany after World War I ?;ENTITY
2681;What 's the fifth-largest country in the world ?;LOCATION
2682;How do you box train a cat ?;DESCRIPTION
2683;How was Teddy Roosevelt related to FDR ?;DESCRIPTION
2684;What newspaper serves Salt Lake City ?;ENTITY
2685;The film `` Jaws '' was made in what year ?;NUMERIC
2686;How does lightning travel ?;DESCRIPTION
2687;What spice do chefs pay the most for ?;ENTITY
2688;Who directed Citizen Kane ?;HUMAN
2689;What is troilism ?;DESCRIPTION
2690;What was the sister ship of the Olympic ?;ENTITY
2691;What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?;HUMAN
2692;What is HTML ?;ABBREVIATION
2693;How do you identify prime numbers ?;DESCRIPTION
2694;Whose special bear 's creator was born on January 18 , 1779 ?;HUMAN
2695;What high school does Archie attend ?;HUMAN
2696;What animal migrates the farthest ?;ENTITY
2697;What film was based on the play Everybody Comes to Rick 's ?;ENTITY
2698;Why do we call someone `` honey '' ?;DESCRIPTION
2699;Madonna hocks which soft drink ?;ENTITY
2700;What television network flogged its sports programming on Inga Nielsen 's body in 197 ?;HUMAN
2701;In what country is Lund ?;LOCATION
2702;What 's the sequel to Alice 's Adventures in Wonderland ?;ENTITY
2703;What is the capital of Seattle ?;LOCATION
2704;What Italian leader had a lifelong fear of the evil eye ?;HUMAN
2705;What city in Florida is Sea World in ?;LOCATION
2706;Who said : `` What contemptible scoundrel stole the cork from my lunch ? '';HUMAN
2707;What 's a water funnel ?;DESCRIPTION
2708;What is a fear of worms ?;ENTITY
2709;What is a Chinese `` spouting '' bowl ?;DESCRIPTION
2710;What does an emperor do ?;DESCRIPTION
2711;What president kissed the Queen Mother on the lips ?;HUMAN
2712;Where does the tennis star Stefan Edberg come from ?;LOCATION
2713;What continent pushes up the Executive Committee mountain range ?;LOCATION
2714;How do they raise the cranes when building high-rise buildings ?;DESCRIPTION
2715;What was Al Capone finally imprisoned for , in 1931 ?;DESCRIPTION
2716;What food can I use to catch a possum ?;ENTITY
2717;What was Al Capone 's nickname ?;HUMAN
2718;Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?;HUMAN
2719;What is the largest city in Germany ?;LOCATION
2720;What is a fear of cholera ?;ENTITY
2721;What park contains Firehole River and Fairy Falls ?;LOCATION
2722;What 's the largest island in the West Indies ?;LOCATION
2723;What New England state carries the telephone area code 27 ?;LOCATION
2724;What is an example of a natural acid-base indicator ?;ENTITY
2725;In what county is Eckley Colorado ?;LOCATION
2726;How do I find info about rice importers in the world ?;DESCRIPTION
2727;How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?;NUMERIC
2728;What is the song Stairway to Heaven by Led Zeppelin about ?;DESCRIPTION
2729;How does hair curl ?;DESCRIPTION
2730;What are pushed and coupled in hump yards ?;ENTITY
2731;How long do hermit crabs live ?;NUMERIC
2732;What city hosted the first Winter Olympics in Asia ?;LOCATION
2733;What is the origin of the first name ` Breony ' ?;DESCRIPTION
2734;What month were you born in if your birthstone is sardonyx ?;NUMERIC
2735;Who is behind the name of the Harvey Wallbanger drink ?;HUMAN
2736;What is the origin of `` Beauty is in the eye of the beholder '' ?;DESCRIPTION
2737;What soft drink not only has its own video game , but was featured in its own Marvel comic book ?;ENTITY
2738;What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?;ENTITY
2739;Madonna advertises for what soft drink ?;ENTITY
2740;What does A&amp;
2741;What tennis term is said to come from the French word for egg ?;ENTITY
2742;What does a collier mine ?;ENTITY
2743;How much money can a person be fined for having a dog on a beach ?;NUMERIC
2744;What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?;LOCATION
2745;What are the ages in comic book lingo ?;ENTITY
2746;What kinds of animals are in Cambodia ?;ENTITY
2747;What South African producer had a 1988 profit of $836 million ?;HUMAN
2748;What American actress was the first to be called a `` vamp '' ?;HUMAN
2749;What do the 12 days of Christmas mean ?;DESCRIPTION
2750;What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?;ENTITY
2751;What date did man first land on the moon ?;NUMERIC
2752;Where are the headquarters of Eli Lilly ?;LOCATION
2753;How many web servers are there ?;NUMERIC
2754;What 's the last line of Dickens 's A Christmas Carol ?;DESCRIPTION
2755;How many trees go into paper making in a year ?;NUMERIC
2756;Where can I find info on research being done on oilseeds thru genetics ?;LOCATION
2757;How come light bulbs go out ?;DESCRIPTION
2758;For what reason did the Shea &amp;
2759;How far out is the universe ?;NUMERIC
2760;What is the difference between a bottle and a jar ?;DESCRIPTION
2761;What disease is the second-biggest killer of North Americans ?;ENTITY
2762;Where did the Mayan Indians live ?;LOCATION
2763;Where was Poe born ?;LOCATION
2764;What happens to the female body with lack of sleep and food ?;DESCRIPTION
2765;What is a fear of crystals or glass ?;ENTITY
2766;Name a product that controls the ripening of apples .;ENTITY
2767;How many warmup pitches does a reliever get coming into a baseball game ?;NUMERIC
2768;Where did Dylan Thomas die ?;LOCATION
2769;What common livestock have the greatest variety of breeds ?;ENTITY
2770;What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?;ENTITY
2771;What disease did August von Wassermann develop a specific test for in 196 ?;ENTITY
2772;What card company sells Christmas ornaments ?;HUMAN
2773;How do I find out what cities are in a certain area code ?;DESCRIPTION
2774;What can communications satellites offer yachts ?;ENTITY
2775;How many Fig Newtons are there to the pound ?;NUMERIC
2776;Who is the premier of China ?;HUMAN
2777;What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?;HUMAN
2778;How many bones are there in the human hand ?;NUMERIC
2779;What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?;HUMAN
2780;Who was the president of Vichy France ?;HUMAN
2781;Whose kidnaping was termed The Crime of the Century ?;HUMAN
2782;What is hydrogen ?;DESCRIPTION
2783;What group asked the musical question Do You Believe in Magic ?;HUMAN
2784;What was the tallest building in America in 1922 ?;LOCATION
2785;What buxom blonde appeared on the cover of more than 5 magazines ?;HUMAN
2786;What is recruitment interview technique ?;DESCRIPTION
2787;How does a hurricane form ?;DESCRIPTION
2788;What does the donation process entail ?;DESCRIPTION
2789;How far is it from Phoenix to Blythe ?;NUMERIC
2790;What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?;LOCATION
2791;How many people watch network television ?;NUMERIC
2792;What garment was named for Bradley , Voorhees and Day ?;ENTITY
2793;Who first broke the sound barrier ?;HUMAN
2794;How do birds have sex ?;DESCRIPTION
2795;How many horses are there on a polo team ?;NUMERIC
2796;What 's destroyed in Genesis 19 : 24 ?;ENTITY
2797;What new year is celebrated on February 16th ?;ENTITY
2798;What is Occam 's Razor ?;DESCRIPTION
2799;Where do the Grimace and Mayor McCheese live ?;LOCATION
2800;How long does it take to hike the entire Appalachian Trail ?;NUMERIC
2801;What role do fruits play in the survival of plants ?;HUMAN
2802;Where is the world championship sled dog race held each February ?;LOCATION
2803;What are the medical purposes of `` clitoridectomy '' ?;DESCRIPTION
2804;How is thalassemia defined ?;DESCRIPTION
2805;What 's the name of the Tampa newspaper ?;ENTITY
2806;What is a storm surge ?;DESCRIPTION
2807;How do you use `` farther '' as opposed to `` further '' ?;DESCRIPTION
2808;What was the alternate to VHS ?;ENTITY
2809;What is one of the languages of the Sioux ?;ENTITY
2810;What Pulitzer Prize-winning novelist ran for mayor of New York City ?;HUMAN
2811;How many times can a nickel-cadmium rechargeable battery be recharged ?;NUMERIC
2812;How is cologne made ?;DESCRIPTION
2813;What was the food of the Greek gods called ?;ENTITY
2814;What does camera-ready art mean ?;DESCRIPTION
2815;How many seats does the Batmobile sport ?;NUMERIC
2816;How many cards are dealt to each player in Gin Rummy ?;NUMERIC
2817;What happened to Phillip Taylor Kramer ?;DESCRIPTION
2818;What Erica Jong novel deals with Isadora Wing 's fear ?;ENTITY
2819;What time of year do most people fly ?;NUMERIC
2820;Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?;HUMAN
2821;What is the origin of the Christmas tree ?;DESCRIPTION
2822;When is the Thai New Year ?;NUMERIC
2823;What four tournaments make up tennis ' Grand Slam ?;ENTITY
2824;What 1964 film introduced the song My Kind of Town ?;ENTITY
2825;Who recorded the 1957 hit Tammy ?;HUMAN
2826;What is the term for the side of the mountain that faces the prevailing winds ?;ENTITY
2827;In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?;ENTITY
2828;What does caliente translate to in English ?;ENTITY
2829;Who is Mia Farrow 's mother ?;HUMAN
2830;How do you determine if a computer monitor has an SVGA adapter ?;DESCRIPTION
2831;How far can a human eye see ?;NUMERIC
2832;What time of year has the most air travel ?;NUMERIC
2833;What does the term `` spaghetti western '' mean ?;DESCRIPTION
2834;When was the G7 group of nations formed ?;NUMERIC
2835;What are differences between 1980 and 1990 ?;DESCRIPTION
2836;What baseball player was walked the most times ?;HUMAN
2837;What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?;HUMAN
2838;What were the first frozen foods ?;ENTITY
2839;Why is Indiglo called Indiglo ?;DESCRIPTION
2840;What is the word for love of pain or abuse ?;ENTITY
2841;When did they canonize the Bible ?;NUMERIC
2842;Who was the only president to serve two nonconsecutive terms ?;HUMAN
2843;What percentage of all world tornados touch down in the US ?;NUMERIC
2844;What labor leader was last seen in the parking lot of a Michigan restaurant ?;HUMAN
2845;When did the Carolingian period begin ?;NUMERIC
2846;What motto ended Merrie Melodies cartoons ?;DESCRIPTION
2847;Who reports the weather on the `` Good Morning America '' television show ?;HUMAN
2848;How many emperors were there in the Roman Empire ?;NUMERIC
2849;What was the name of `` The Muppets '' creator ?;HUMAN
2850;What is Cabarnet Sauvignon ?;DESCRIPTION
2851;What is a virtual IP address ?;DESCRIPTION
2852;What 's the name of the tiger that advertises for Frosted Flakes cereal ?;ENTITY
2853;Who sent the brief message `` I came , I saw , I conquered '' ?;HUMAN
2854;What color is Mr. Spock 's blood ?;ENTITY
2855;What U.S. Air Force general led the first bombing raid over Tokyo ?;HUMAN
2856;What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?;HUMAN
2857;What was the name of the first Watergate special prosecutor , later fired by Nixon ?;HUMAN
2858;How do movie blues screens work ?;DESCRIPTION
2859;How does the speed the magnet spins in a generator affect the output of the generator ?;DESCRIPTION
2860;What 's the supreme policy-making bureau of the Soviet Communist Party ?;HUMAN
2861;What was the Vietnam War ?;DESCRIPTION
2862;What is La Nina ?;DESCRIPTION
2863;Why did the Globe Theatre burn down ?;DESCRIPTION
2864;On what day were John F and Jackie Kennedy married ?;NUMERIC
2865;What was the non-fiction best-seller of 1952 , 1953 and 1954 ?;ENTITY
2866;What is meant by blood SED rate ?;DESCRIPTION
2867;Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?;HUMAN
2868;Who won a Pulitzer Prize for his novel The Caine Mutiny ?;HUMAN
2869;What 's the best way to lose the flab under your chin and around your face ?;ENTITY
2870;Where is your corpus callosum ?;LOCATION
2871;What Broadway musical featured the song , `` If I were a rich man ? '';ENTITY
2872;Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?;HUMAN
2873;Why is the development of space so important ?;DESCRIPTION
2874;What is the nursery rhyme Rock-a-by Baby about ?;DESCRIPTION
2875;When Superman needs to get away from it all , where does he go ?;LOCATION
2876;How old is singer Freedy Johnston ?;NUMERIC
2877;What is the origin of gametophytic tissue ?;DESCRIPTION
2878;What does Aaron mean ?;DESCRIPTION
2879;What is a fear of hair ?;ENTITY
2880;What is the name of the pop singer whose song became the theme song for a brand of catsup ?;HUMAN
2881;What is a conifer ?;DESCRIPTION
2882;Who claimed to be the world 's most perfectly-developed man ?;HUMAN
2883;What is different about the red and black fox ?;DESCRIPTION
2884;What is e-commerce ?;DESCRIPTION
2885;How do I tie a tie ?;DESCRIPTION
2886;Where can I get cotton textiles importer details ?;LOCATION
2887;When did Spain and Korea start ambassadorial relations ?;NUMERIC
2888;What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?;HUMAN
2889;What is chromatology ?;DESCRIPTION
2890;How many grooves are on a dime 's edge ?;NUMERIC
2891;How was the ACLU formed ?;DESCRIPTION
2892;What are the most albums sold by one artist or band ?;ENTITY
2893;The second most popular sport worldwide is what ?;ENTITY
2894;What do goldfish lose if kept in dimly-lit or running water ?;ENTITY
2895;What canal does the Thatcher Ferry Bridge span ?;LOCATION
2896;What American won the world Grand Prix driving championship in 1978 ?;HUMAN
2897;What are the chances of pregnacy if the penis does not penetrate the vagina ?;NUMERIC
2898;What 's the highest hand in straight poker ?;ENTITY
2899;Where can I find a lesson plan for teaching the metric system conversion to American standard ?;LOCATION
2900;What is the name of Kevin Costner 's movie about Sioux Indians ?;ENTITY
2901;What are Kythnos , Siphnos , Seriphos and Mykonos ?;DESCRIPTION
2902;Name a female figure skater .;HUMAN
2903;Why are there no white lines on pro footballs ?;DESCRIPTION
2904;How long would it take for a $ savings bond to mature ?;NUMERIC
2905;How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?;DESCRIPTION
2906;What did the Congress of Vienna establish ?;ENTITY
2907;What is the average cost for four years of medical school ?;NUMERIC
2908;What harmful chemicals are in bug spray ?;ENTITY
2909;How many spears are there on Kenya 's flag ?;NUMERIC
2910;What did Mighty Mouse always sing as he went into action ?;DESCRIPTION
2911;Where did George of the Jungle live ?;LOCATION
2912;How did Bob Marley die ?;DESCRIPTION
2913;What 's men 's par on a 455-yard golf hole ?;NUMERIC
2914;What percentage of American men are alcoholic ?;NUMERIC
2915;Dialing , 900 , 740-TREE to have a tree planted will cost how much ?;NUMERIC
2916;In South Korea , how many American Soldiers are there ?;NUMERIC
2917;Who portrayed Carl Bernstein in All the President 's Men ?;HUMAN
2918;What are the numbers that fit into Fermont 's last theorem ?;NUMERIC
2919;Who was Tiny Tim 's father ?;HUMAN
2920;What does a heliologist study ?;ENTITY
2921;Who was Bonnie Blue Butler 's father ?;HUMAN
2922;What shampoo prevents eczema , seborrhea , and psoriasis ?;ENTITY
2923;How many Americans have HIV ?;NUMERIC
2924;Where do I find information for foreclosure properties on the Internet ?;LOCATION
2925;Who is the Antichrist ?;HUMAN
2926;What was the first English play written exclusively for children ?;ENTITY
2927;Which Latin American country is the largest ?;LOCATION
2928;What was the former residence of Scottish kings in Edinburgh ?;LOCATION
2929;How many teats does a female goat sport ?;NUMERIC
2930;How tall is kilamanjaro ?;NUMERIC
2931;Who was the lawyer who represented Randy Steven Craft ?;HUMAN
2932;What country buys 25 percent of the world 's tea exports ?;LOCATION
2933;What country is the origin of the band the Creeps ?;LOCATION
2934;What did the crocodile swallow in Peter Pan ?;ENTITY
2935;What is the origin of the word `` mushroom '' ?;DESCRIPTION
2936;Which of the following celebrities was not born in Philadelphia ?;HUMAN
2937;What is the number of American soldiers deployed to South Korea ?;NUMERIC
2938;Where is the biggest bell ?;LOCATION
2939;What is the brand name of the chemical daminozide ?;ENTITY
2940;How do microwaves work ?;DESCRIPTION
2941;What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?;ENTITY
2942;What is the estimated total U.S. whitetail deer population ?;NUMERIC
2943;Who wrote the Farmer 's Almanac ?;HUMAN
2944;What animal received royal assent as an emblem of Canada on March 24 , 1975 ?;ENTITY
2945;What number is at 12 o 'clock on a dartboard ?;NUMERIC
2946;Which team won the Super Bowl in 1968 ?;HUMAN
2947;What is the recommended daily requirement for folic acid for pregnant women ?;DESCRIPTION
2948;What film dramatized the Scopes monkey trial ?;ENTITY
2949;CNN is owned by whom ?;HUMAN
2950;What country offered Albert Einstein its presidency in 1952 ?;LOCATION
2951;What is the HIGHEST Roman numeral ?;DESCRIPTION
2952;What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?;ENTITY
2953;Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?;HUMAN
2954;How is digital audio used ?;DESCRIPTION
2955;What is AFS ?;ABBREVIATION
2956;Who was Quetzalcoatl ?;HUMAN
2957;What operating system do IBM-compatible machines use ?;ENTITY
2958;What French leader sold Louisiana to the United States ?;HUMAN
2959;What bay sparkles next to Miami , Florida ?;LOCATION
2960;How many miles of veins are in the circulatory system ?;NUMERIC
2961;What famed river flows through Bagdad ?;LOCATION
2962;How is bubble wrap made ?;DESCRIPTION
2963;What is Java ?;DESCRIPTION
2964;Who is the prime minister of Japan ?;HUMAN
2965;What player squats an average of 3 times during a baseball doubleheader ?;HUMAN
2966;What 's the most common name in nursery rhymes ?;HUMAN
2967;How many `` No '' answers was the What 's My Line ? panel allowed ?;NUMERIC
2968;What is the fine for having a dog on a beach ?;NUMERIC
2969;Who wrote the book , `` Song of Solomon '' ?;HUMAN
2970;Where can one find information on religion and health , the brain and nutrition ?;LOCATION
2971;Name the Ranger who was always after Yogi Bear .;HUMAN
2972;What TV show did John Sebastian sing the theme for ?;ENTITY
2973;Who is the president of the Spanish government ?;HUMAN
2974;Who holds the career record for the most major league home runs ?;HUMAN
2975;Which of the following actors worked in New York 's Yiddish Theater ?;HUMAN
2976;Who invented the stethoscope ?;HUMAN
2977;What is a mathematical factor ?;DESCRIPTION
2978;How many four star generals were there and who are they ?;NUMERIC
2979;When did Nixon die ?;NUMERIC
2980;What was originally defined as one 1-millionth of the distance from the equator to the Pole ?;ENTITY
2981;What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?;HUMAN
2982;How many members are in the California congressional delegation ?;NUMERIC
2983;What erupts every hour at Yellowstone National Park ?;LOCATION
2984;What country contains the highest point in South America ?;LOCATION
2985;What are Arnold Palmer 's fans called ?;HUMAN
2986;Who retired with 755 home runs to his credit ?;HUMAN
2987;What constellation represents a hunter with club and shield ?;LOCATION
2988;Who developed potlatch ?;HUMAN
2989;How long did Shea and Gould practice law in Los Angeles ?;NUMERIC
2990;What 's a perfect score in a gymnastics exercise ?;NUMERIC
2991;What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?;HUMAN
2992;What made Jane Goodall famous ?;DESCRIPTION
2993;At what age did Rossini stop writing opera ?;NUMERIC
2994;What Russian seaport has a name meaning `` Lord of the East '' ?;LOCATION
2995;Name the two actress daughters of John Mills .;HUMAN
2996;How old was Gene Siskel ?;NUMERIC
2997;What can be done about snoring ?;DESCRIPTION
2998;What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?;LOCATION
